Year,Response,ec_hours,hw_hours,pressure,activity
2nd,1,5,0.5,1,"Team Sports (Hurling,Soccer etc)"
2nd,2,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,3,5,2,1,"Solo Sports (Tennis, Rowing etc)"
2nd,4,5,3.5,1,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,5,5,2,2,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,6,3,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,7,4,3.5,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,8,4,2,2,"Team Sports (Hurling,Soccer etc)"
2nd,9,4,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,10,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc);Gym"
2nd,11,5,3.5,2,"Team Sports (Hurling,Soccer etc);Gym "
2nd,12,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,13,5,2,4,"Team Sports (Hurling,Soccer etc)"
2nd,14,2,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,15,5,1,3,"Team Sports (Hurling,Soccer etc)"
2nd,16,5,2,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,17,5,2,2,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc)"
2nd,18,5,3.5,3,"Team Sports (Hurling,Soccer etc)"
2nd,19,5,2,3,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,20,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,21,5,2,1,"Team Sports (Hurling,Soccer etc)"
2nd,22,5,1,4,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc)"
2nd,23,5,1,4,"Team Sports (Hurling,Soccer etc);Music (Instrument, Choir etc)"
2nd,24,5,2,3,"Team Sports (Hurling,Soccer etc)"
2nd,25,5,1,1,"Team Sports (Hurling,Soccer etc)"
2nd,26,5,3.5,2,"Team Sports (Hurling,Soccer etc)"
2nd,27,5,1,4,"Team Sports (Hurling,Soccer etc)"
2nd,28,5,3.5,3,"Team Sports (Hurling,Soccer etc);Solo Sports (Tennis, Rowing etc);Music (Instrument, Choir etc);Academic (Chess, Debating etc)"
